姓名,Email,手機,來源
 蕭雅琪,YACHI.HSIAO@YAHOO.COM.TW,0965666768,官網表單
Chang Chia-Hao,Chiahao@techmail.co,0956 789 012,展場名片
 周思穎,SZUYING.CHOU@YAHOO.COM,0966778899,官網表單
王志明,wang.alt2024@gmail.com,0900-111-222,展場名片
劉 怡君,Yichun.Liu@hotmail.com,0989 012 345,轉介
羅建良,cl.lo@bizmail.com,0932-333-435,電話陌開
陳建鴻 ,CH.CHEN@COMPANY.COM,0934567890,電子報訂閱
Hsieh Tsung-Han,Th.Hsieh@corp.com.tw,0933 445 566,FB 私訊
 馮俊宏,CHUNHUNG@TECHCO.TW,0976777879,展場名片
 黃淑芬,SHUFEN.H@GMAIL.COM,0967890123,官網表單
 賴冠廷,KT.LAI@COMPANY.COM,0977889900,展場名片
王志明,chihming.wang@gmail.com,0912-345-678,官網表單
 蔡明哲,MINGCHE@BIZNET.TW,0911223344,LinkedIn
何欣怡,hsinyi.ho@gmail.com,0943-444-546,LinkedIn
林雅婷,yating.lin@mail.com,0945-678-901,LinkedIn
 楊雅雯,YAWEN.YANG@MAIL.NET,0944556677,線上活動報名
 董淑惠,SHUHUI.TUNG@GMAIL.COM,0987888980,電話陌開
吳俊傑,cc.wu@outlook.com,0978-901-234,線上活動報名
 葉佩珊,PEISHAN.YEH@GMAIL.COM,0988990011,電話陌開
Wang Chih-Ming,Chihming.Wang@gmail.com,+886-912-345-678,電子報訂閱
鄭佳玲,chialing.cheng@gmail.com,0922-334-455,展場名片
曾國輝,kh.tseng@corp.com,0954-555-657,轉介
林 雅婷,Yating.Lin@mail.com,+886-945-678-901,官網表單
許文傑,wenchieh@gmail.com,0955-667-788,轉介
范維倫,weilun.fan@outlook.com,0929-000-102,展場名片
Wu Chun-Chieh,Cc.Wu@outlook.com,+886-978-901-234,LinkedIn
 邱志強,CC.CHIU@WEBMAIL.TW,0910111213,LinkedIn
 李美華,MEIHUA.LEE@YAHOO.COM.TW,0923456789,轉介
鄭 佳玲,Chialing.Cheng@gmail.com,+886-922-334-455,線上活動報名
蕭雅琪,yachi.hsiao@yahoo.com.tw,0965-666-768,電子報訂閱
 張家豪,CHIAHAO@TECHMAIL.CO,0956789012,FB 私訊
周思穎,szuying.chou@yahoo.com,0966-778-899,電子報訂閱
杜俊男,chunnan.tu@bizmail.tw,0941-222-324,LinkedIn
 劉怡君,YICHUN.LIU@HOTMAIL.COM,0989012345,電話陌開
 高麗雯,LIWEN.KAO@MAIL.COM,0921222324,轉介
陳建宏,ch.chen@company.com,0934-567-890,電話陌開
 謝宗翰,TH.HSIEH@CORP.COM.TW,0933445566,電子報訂閱
馮俊宏,chunhung@techco.tw,0976-777-879,線上活動報名
黃淑芬,shufen.h@gmail.com,0967-890-123,電子報訂閱
賴冠廷,kt.lai@company.com,0977-889-900,線上活動報名
李美華,meihua.diff@hotmail.com,0900-333-444,FB 私訊
蔡明哲,mingche@biznet.tw,0911-223-344,官網表單
 羅建良,CL.LO@BIZMAIL.COM,0932333435,電子報訂閱
Chen Chien-Hung,Ch.Chen@company.com,(0934)567-890,FB 私訊
楊雅雯,yawen.yang@mail.net,0944-556-677,LinkedIn
董淑惠,shuhui.tung@gmail.com,0987-888-980,FB 私訊
黃 淑芬,Shufen.H@gmail.com,(0967)890-123,電話陌開
葉佩珊,peishan.yeh@gmail.com,0988-990-011,FB 私訊
 王志明,CHIHMING.WANG@GMAIL.COM,0912345678,LinkedIn
Tsai Ming-Che,Mingche@biznet.tw,(0911)223-344,電子報訂閱
 何欣怡,HSINYI.HO@GMAIL.COM,0943444546,線上活動報名
 林雅婷,YATING.LIN@MAIL.COM,0945678901,線上活動報名
楊 雅雯,Yawen.Yang@mail.net,(0944)556-677,官網表單
潘建志,cc.pan@mail.com,0918-999-091,官網表單
 吳俊傑,CC.WU@OUTLOOK.COM,0978901234,展場名片
邱志強,cc.chiu@webmail.tw,0910-111-213,官網表單
李美華,meihua.lee@yahoo.com.tw,0923-456-789,展場名片
 鄭佳玲,CHIALING.CHENG@GMAIL.COM,0922334455,轉介
 曾國輝,KH.TSENG@CORP.COM,0954555657,FB 私訊
張家豪,chiahao@techmail.co,0956-789-012,轉介
 許文傑,WENCHIEH@GMAIL.COM,0955667788,FB 私訊
蘇怡如,yiju.su@gmail.com,0930-111-213,電話陌開
劉怡君,yichun.liu@hotmail.com,0989-012-345,FB 私訊
高麗雯,liwen.kao@mail.com,0921-222-324,展場名片
李 美華,Meihua.Lee@yahoo.com.tw,0923 456 789,線上活動報名
謝宗翰,th.hsieh@corp.com.tw,0933-445-566,電話陌開
