報名編號,姓名,Email,場次,報名費,報名日期
R131,石翊軒,yihsuan.shih@yahoo.com,企業包班場,12000,2026-05-04
R160,高郁婷,yuting.kao@biznet.tw,C場 企業包班,3500,2026.05.07
R126, 蘇怡安 ,YIAN.SU@GMAIL.COM,進階場,2000 元整,2026/5/5
R155,孫　立群,Lichun.Sun@gmail.com,企業包班 場,NT$3500,2026-5-9
R121,簡　又綸,Youlun.Chien@gmail.com,入門場,1200,5月6日
R150, 吳柏宇 ,BOYU.WU@COMPANY.COM,AI 入門場,NT$1200,2026/5/5
R116,葉芷晴,chihching.yeh@gmail.com,ai入門,1200元,2026.05.07
R145,田　耀程,Yaocheng.Tien@gmail.com,進階應用,-3500,5月6日
R111, 謝孟修 ,MENGHSIU.HSIEH@CORP.COM.TW,進階應用 場,"NT$ 2,000",05/08/2026
R140,施宥安,youan.shih@yahoo.com.tw,C場 企業包班,3500 元整,2026.05.07
R106,黃　郁雯,Yuwen.Huang@outlook.com,AI 入門,＄1200,2026-5-9
R135, 孫立群 ,LICHUN.SUN@GMAIL.COM,企業 包班場,3500,05/08/2026
R101,王思涵,szuhan.wang@gmail.com,AI入門場,-1200,2026-05-04
R164,孫立群,lichun.sun@gmail.com,企業包班場,3500元,2026-05-04
R130,范　家瑜,Chiayu.Fan@gmail.com,AI 入門,1200元,2026-5-9
R159,賴宥廷,youting.lai@company.com,ai入門,1200元,2026.05.07
R125,呂庭瑋,tingwei.lu@outlook.com,AI入門場,"NT$ 1,200",2026-05-04
R154,范家瑜,chiayu.fan@gmail.com,AI入門場,"1,200",2026-05-04
R120, 廖建良 ,CHIENLIANG.LIAO@YAHOO.COM.TW,進階場,NT$-2000,2026/5/5
R149,陳玟伶,wenling.chen@mail.com,ai入門,"NT$ 1,200",2026.05.07
R115,賴　宥廷,Youting.Lai@company.com,入門場,NT$1200,5月6日
R144, 白思妤 ,SZUYU.PAI@OUTLOOK.COM,包班場,3500元,2026/5/5
R110,鄭詠晴,yungching.cheng@gmail.com,ai入門,0,2026.05.07
R139,鍾　佳臻,Chiachen.Chung@gmail.com,進階應用,"NT$ 2,000",5月6日
R105, 張育誠 ,YUCHENG.CHANG@GMAIL.COM,進階應用 場,2000 元整,05/08/2026
R134,唐雅文,yawen.tang@webmail.tw,ai入門,＄1200,2026.05.07
R163, 彭子瑜 ,TZUYU.PENG@GMAIL.COM,AI 入門場,1200 元整,2026/5/5
R129, 丁可昕 ,KOHSIN.TING@MAIL.NET,進階應用 場,NT$2000,05/08/2026
R158,黃郁雯,yuwen.huang@outlook.com,AI入門場,1200,2026-05-04
R124,彭　子瑜,Tzuyu.Peng@gmail.com,AI 入門,"1,200",2026-5-9
R153,彭子瑜,tzuyu.peng@gmail.com,AI入門場,"NT$ 1,200",2026-05-04
R119,曾子萱,tzuhsuan.tseng@mail.com,AI入門場,1200 元整,2026-05-04
R148,葛　立偉,Liwei.Ko@mail.net,AI進階應用場,0元,2026-5-9
R114, 周筱涵 ,HSIAOHAN.CHOU@YAHOO.COM,進階場,2000,2026/5/5
R143,古宛蓁,wanchen.ku@gmail.com,AI入門場,NT$1200,2026-05-04
R109,蔡　承翰,Chenghan.Tsai@biznet.tw,企業包班,3500元,5月6日
R138, 巫宗霖 ,TSUNGLIN.WU@MAIL.COM,AI 入門場,"1,200",2026/5/5
R104,林佳蓉,chiajung.lin@hotmail.com,C場 企業包班,"NT$ 3,500",2026.05.07
R133,傅　子軒,Tzuhsuan.Fu@gmail.com,進階應用,2000 元整,5月6日
R162, 楊心怡 ,HSINYI.YANG@MAIL.NET,AI 入門場,1200,2026/5/5
R128,盧建宏,chienhung.lu@gmail.com,ai入門,1200,2026.05.07
R157,駱承恩,chengen.lo@company.com,進階應用場,NT$2000,2026-05-04
R123, 沈彥廷 ,YENTING.SHEN@COMPANY.COM,進階應用 場,2000元,05/08/2026
R152,洪詩涵,shihhan.hung@gmail.com,企業包班場,3500 元整,2026-05-04
R118,洪　詩涵,Shihhan.Hung@gmail.com,企業包班 場,"NT$ 3,500",2026-5-9
R147, 溫昕妤 ,HSINYU.WEN@GMAIL.COM,A場 入門,1200 元整,05/08/2026
R113,許博鈞,pochun.hsu@gmail.com,企業包班場,NT$ 35000,2026-05-04
R142,駱　承恩,Chengen.Lo@company.com,AI進階應用場,2000,2026-5-9
R108, 劉雅琪 ,YACHI.LIU@GMAIL.COM,進階場,NT$2000,2026/5/5
R137,游雯琪,wenchi.yu@gmail.com,AI入門場,元,2026-05-04
