name,email,phone,company,source,note
客戶_001,client001@example.com,0900000001,公司_B001,展會,VIP
客戶_002,client002@example.com,0900000002,公司_C002,Email,需 demo
客戶_003,client003@example.com,0900000003,公司_D003,推薦,合約洽談
客戶_004,client004@example.com,0900000004,公司_E004,網站,
客戶_005,client005@example.com,,公司_F005,Phone,熱門
客戶_006,client006@example.com,0900000006,公司_G006,Webinar,VIP
客戶_007,,0900000007,公司_H007,LinkedIn,需 demo
客戶_008,client008@example.com,0900000008,公司_I008,展會,合約洽談
客戶_009,client009@example.com,0900000009,公司_J009,Email,
客戶_010,client010@example.com,,公司_K010,推薦,熱門
客戶_011,client011@example.com,0900000011,公司_L011,網站,VIP
客戶_012,client012@example.com,0900000012,公司_M012,Phone,需 demo
客戶_013,client013@example.com,0900000013,公司_N013,Webinar,合約洽談
客戶_014,,0900000014,公司_O014,LinkedIn,
客戶_015,client015@example.com,,公司_P015,展會,熱門
客戶_016,client016@example.com,0900000016,公司_Q016,Email,VIP
客戶_017,client017@example.com,0900000017,公司_R017,推薦,需 demo
客戶_018,client018@example.com,0900000018,公司_S018,網站,合約洽談
客戶_019,client019@example.com,0900000019,公司_T019,Phone,
客戶_020,client020@example.com,,公司_U020,Webinar,熱門
客戶_021,,0900000021,公司_V021,LinkedIn,VIP
客戶_022,client022@example.com,0900000022,公司_W022,展會,需 demo
客戶_023,client023@example.com,0900000023,公司_X023,Email,合約洽談
客戶_024,client024@example.com,0900000024,公司_Y024,推薦,
客戶_025,client025@example.com,,公司_Z025,網站,熱門
客戶_026,client026@example.com,0900000026,公司_A026,Phone,VIP
客戶_027,client027@example.com,0900000027,公司_B027,Webinar,需 demo
客戶_028,,0900000028,公司_C028,LinkedIn,合約洽談
客戶_029,client029@example.com,0900000029,公司_D029,展會,
客戶_030,client030@example.com,,公司_E030,Email,熱門
客戶_031,client031@example.com,0900000031,公司_F031,推薦,VIP
客戶_032,client032@example.com,0900000032,公司_G032,網站,需 demo
客戶_033,client033@example.com,0900000033,公司_H033,Phone,合約洽談
客戶_034,client034@example.com,0900000034,公司_I034,Webinar,
客戶_035,,,公司_J035,LinkedIn,熱門
客戶_036,client036@example.com,0900000036,公司_K036,展會,VIP
客戶_037,client037@example.com,0900000037,公司_L037,Email,需 demo
客戶_038,client038@example.com,0900000038,公司_M038,推薦,合約洽談
客戶_039,client039@example.com,0900000039,公司_N039,網站,
客戶_040,client040@example.com,,公司_O040,Phone,熱門
客戶_041,client041@example.com,0900000041,公司_P041,Webinar,VIP
客戶_042,,0900000042,公司_Q042,LinkedIn,需 demo
客戶_043,client043@example.com,0900000043,公司_R043,展會,合約洽談
客戶_044,client044@example.com,0900000044,公司_S044,Email,
客戶_045,client045@example.com,,公司_T045,推薦,熱門
客戶_046,client046@example.com,0900000046,公司_U046,網站,VIP
客戶_047,client047@example.com,0900000047,公司_V047,Phone,需 demo
客戶_048,client048@example.com,0900000048,公司_W048,Webinar,合約洽談
客戶_049,,0900000049,公司_X049,LinkedIn,
客戶_050,client050@example.com,,公司_Y050,展會,熱門
客戶_051,client051@example.com,0900000051,公司_Z051,Email,VIP
客戶_052,client052@example.com,0900000052,公司_A052,推薦,需 demo
客戶_053,client053@example.com,0900000053,公司_B053,網站,合約洽談
客戶_054,client054@example.com,0900000054,公司_C054,Phone,
客戶_055,client055@example.com,,公司_D055,Webinar,熱門
客戶_056,,0900000056,公司_E056,LinkedIn,VIP
客戶_057,client057@example.com,0900000057,公司_F057,展會,需 demo
客戶_058,client058@example.com,0900000058,公司_G058,Email,合約洽談
客戶_059,client059@example.com,0900000059,公司_H059,推薦,
